thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.102103753478 -0.00364807619896 -0.0584049519098 0.0153034039835
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.127007981532 0.0610435213206 -0.0819083683568 0.0739577252736
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.147754555085 0.0688255694805 -0.0854194220196 0.0858681643526
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.132020401392 0.0248288122892 -0.137502925365 0.050734343838
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.133129784971 0.0368774398053 -0.0766177686741 0.0621329212812
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.140258792779 0.0381084857947 -0.052470739519 0.0600524114555
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.143802806466 0.0197020279039 -0.0424616718826 0.04285879718
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.150034753079 0.0101690161231 -0.117755358564 0.0352705019891
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.166921935909 0.0153025624904 -0.119969176479 0.0258103877763
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.26337981585 0.00447318368376 -0.265040797756 0.0434292108965
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.390753714405 0.00346707971484 -0.439029893753 0.0628897783375
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.417408294853 -0.00668600950963 -0.474246153474 0.0573340432846
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.418084013242 0.0117703161359 -0.462135124706 0.0695602016497
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.463767791984 -0.0157760175674 -0.513566406752 0.0822490587372
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.507601028926 -0.0108488886924 -0.536599098895 0.0884510900876
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.556219490747 5.34486375199e-05 -0.533647888086 0.103056522599
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.631449841037 0.0275479548768 -0.602771519464 0.114007260794
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.572063514586 0.0137363542729 -0.5668381544 0.103449269836
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.437999930109 0.0214791264167 -0.370197482825 0.0928791837056
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.262833070939 0.0198871596351 -0.193132066405 0.0731241087972
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.110020618268 0.0157133409713 -0.126742961077 0.0669889551394
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.391344993564 0.0289676677166 -0.366828690328 0.101139460248
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.65618535262 0.0231168654268 -0.68293664758 0.108333352523
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.28687565438 0.0318297584001 -0.189894525691 0.100647270038
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.170216202796 0.0220779671667 -0.0933463700322 0.0717670103377
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.151062574823 0.0208717509162 -0.0911182073007 0.0651896612347
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.147281460699 0.0146032310682 -0.112232844287 0.0604427951637
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.171709383162 0.0111473029161 -0.13395879501 0.0597915116409
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.418430956745 0.00232338476702 -0.432790323115 0.0746456347822
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.833031904472 0.0213142065976 -0.841343301332 0.129096673893
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -1.08764658618 0.0388486404664 -1.112432446 0.140433966614
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.97538679528 0.100069554561 -0.704918890266 0.217630754232
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.385828020974 0.00798186476634 -0.233494089937 0.120147614144
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.180099878276 0.00516466229241 -0.119774027867 0.0564502154147
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.150337194472 -0.0089878943379 -0.135851591424 0.0420055299828
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.121485259872 -0.0126431637944 -0.166048493401 0.0324283376611
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.203394536013 0.0259888324001 -0.082270301659 0.0532460601639
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.260848838935 0.0352921386734 -0.16553233059 0.0666307738737
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.431686795015 0.138224663276 -0.248417284205 0.18030858644
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: 0.0561845467021 0.0506847403042 -0.346292646206 0.0270465728167
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0192328686638 -0.126023482104 -0.576159998009 -0.141705544864
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.496597505258 0.117813219976 -0.241898318832 0.0742878247405
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.617008575115 0.309323744443 0.0874092609595 0.23971741312
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.360541246588 0.194812371142 -0.165854499003 0.114081716561
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: 0.326779837292 0.212256757926 -0.324610503801 0.0668063793285
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: 0.338718278992 0.17011300804 -0.292213029468 0.125169308188
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.124178139487 0.425387001697 -0.294306897153 -0.460399319024
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.011883366663 0.393502783586 -0.00918406735679 -0.214674632361
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: 0.011082068325 0.177639452126 0.0142828291095 -0.148674607913
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: 0.00160628827654 0.0956495106594 0.00508536921995 -0.0763121924797
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.00154273991467 0.0292055039992 -0.0131463393441 -0.0450651099044
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0182659544482 0.0157051820354 -0.0292829807622 -0.0155227583287
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0379920557589 0.0170933034855 -0.0440881613132 0.0035706933412
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0528846070567 0.0192363733945 -0.0560961027316 0.0134094263673
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0637377596796 0.0206862372134 -0.0654176842409 0.0182418809795
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0716506692294 0.0217146542084 -0.0725181654699 0.0207370072622
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0776496380875 0.0222593560169 -0.0780770395258 0.0219239266445
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0819321360546 0.0226862094987 -0.0821376998774 0.0225948711574
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0850737773984 0.0228206227668 -0.0851669772752 0.0228164635035
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0873064648709 0.0230107498327 -0.0873454293599 0.0230297620006
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0889644315893 0.0230063663094 -0.0889772890356 0.0230272212036
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0901593440136 0.0231177997032 -0.0901606534672 0.0231340283309
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0910263321347 0.0230655292619 -0.0910233144711 0.0230768164801
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0916420542217 0.0231415716272 -0.0916376281415 0.0231488254589
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0921197080793 0.0230857538309 -0.0921153779573 0.0230901626184
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0924572960763 0.0231625326029 -0.09245359961 0.0231651141195
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0927054550152 0.023080683852 -0.0927024793924 0.0230821912558
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0928773732399 0.0231587655996 -0.0928750656319 0.0231596231595
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0930109165575 0.0230947356602 -0.0930091609989 0.0230952218394
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0931023804895 0.0231608410971 -0.0931010798141 0.0231611107252
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0931766616729 0.0230859131079 -0.0931756930966 0.0230860617195
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.09322128809 0.0231558593781 -0.093220574822 0.0231559417883
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0932632762995 0.0230885388225 -0.0932627515016 0.0230885838661
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0932850322335 0.0231488701077 -0.0932846430965 0.0231488925744
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933107789247 0.0230825203522 -0.0933104974997 0.0230825311471
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.093318766056 0.0231589078382 -0.0933185621758 0.0231589148235
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933349146747 0.023086213205 -0.0933347651776 0.0230862165617
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.093336749255 0.0231580214364 -0.0933366402022 0.0231580231857
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933483824901 0.0230713796551 -0.0933494614859 0.0230722015345
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933464015999 0.0231565726992 -0.0933463435748 0.0231565731664
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933551632552 0.0230839509963 -0.0933551211245 0.0230839512332
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933519083086 0.0231510827373 -0.0933518259897 0.0231510828606
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933589440305 0.0230828360712 -0.0933589216725 0.023082836132
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933542538193 0.0231556524125 -0.0933542374224 0.0231556524435
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933609294297 0.0230824889871 -0.093360917554 0.0230824890024
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0933554532605 0.023158652487 -0.0933554445668 0.0231586524947
